Designator,Mid X,Mid Y,Rotation,Layer
AT0,157.091442,-74.835763,0.0,top
AT1,157.092884,-93.835763,0.0,top
AT2,157.092884,-112.835763,0.0,top
AT3,157.092884,-131.835763,0.0,top
C1,142.327442,-72.827763,270.0,top
C10,152.949,-71.561,270.0,top
C100,150.406884,-128.297763,270.0,top
C101,175.886384,-133.531763,180.0,top
C102,151.327884,-128.510763,270.0,top
C103,151.223442,-130.448,90.0,top
C104,176.969884,-123.777763,270.0,top
C105,154.487884,-130.486763,90.0,top
C106,155.689884,-128.789763,90.0,top
C107,157.977884,-128.791763,90.0,top
C108,160.783884,-130.408763,270.0,top
C109,183.603,-134.394,90.0,top
C11,151.326442,-71.510763,270.0,top
C110,170.355,-133.878,270.0,top
C111,173.691884,-126.980763,0.0,top
C112,174.087884,-137.754763,180.0,top
C113,180.165442,-80.754763,180.0,top
C114,175.884942,-76.531763,180.0,top
C115,175.912442,-78.168763,0.0,top
C116,174.086442,-80.754763,180.0,top
C117,174.411884,-123.785763,90.0,top
C118,174.584884,-130.216763,0.0,top
C119,154.314884,-129.093763,0.0,top
C12,151.222,-73.448,90.0,top
C120,175.913884,-135.168763,0.0,top
C121,152.950442,-128.561,270.0,top
C122,176.042884,-123.777763,270.0,top
C123,178.848884,-123.778763,90.0,top
C124,142.328884,-129.827763,270.0,top
C125,180.166884,-137.754763,180.0,top
C126,183.605884,-131.585763,90.0,top
C127,170.376884,-131.104763,270.0,top
C128,180.561884,-122.855763,180.0,top
C129,183.595,-77.359,90.0,top
C13,154.314884,-91.093763,0.0,top
C130,183.604442,-74.585763,90.0,top
C131,180.565884,-124.481763,0.0,top
C132,182.007884,-127.218263,0.0,top
C133,140.207,-58.487,0.0,top
C134,142.593,-58.493,0.0,top
C135,142.413,-57.023,0.0,top
C136,145.163,-60.787,90.0,top
C137,138.058,-62.492,90.0,top
C138,150.50025,-62.203,0.0,top
C139,159.24225,-61.227,90.0,top
C14,143.170884,-90.010763,90.0,top
C140,153.69425,-65.322,180.0,top
C141,170.375442,-74.104763,270.0,top
C142,150.98725,-59.774,90.0,top
C143,167.195,-60.5,0.0,top
C144,168.833,-63.809,90.0,top
C145,163.788,-61.384,270.0,top
C149,170.369,-77.091,270.0,top
C15,143.978884,-91.827763,90.0,top
C16,144.820884,-90.005763,270.0,top
C17,145.749884,-90.030763,90.0,top
C18,148.549884,-89.740763,270.0,top
C19,150.406884,-90.297763,270.0,top
C2,143.169442,-71.010763,90.0,top
C20,175.886384,-95.531763,180.0,top
C21,151.327884,-90.510763,270.0,top
C22,151.223442,-92.448,90.0,top
C23,142.328884,-91.827763,270.0,top
C24,154.487884,-92.486763,90.0,top
C25,155.689884,-90.789763,90.0,top
C26,157.977884,-90.791763,90.0,top
C27,160.783884,-92.408763,270.0,top
C28,183.609,-96.398,90.0,top
C29,170.366,-96.092,270.0,top
C3,143.977442,-72.827763,90.0,top
C30,173.691884,-88.980763,0.0,top
C31,174.087884,-99.754763,180.0,top
C32,174.411884,-85.785763,90.0,top
C33,174.584884,-92.216763,0.0,top
C34,176.969884,-85.777763,270.0,top
C35,175.913884,-97.168763,0.0,top
C36,154.313442,-72.093763,0.0,top
C37,154.486442,-73.486763,90.0,top
C38,155.688442,-71.789763,90.0,top
C39,157.976442,-71.791763,90.0,top
C4,120.704,-68.897,90.0,top
C40,160.782442,-73.408763,270.0,top
C41,173.690442,-69.980763,0.0,top
C42,174.410442,-66.785763,90.0,top
C43,174.583442,-73.216763,0.0,top
C44,175.962442,-73.659763,90.0,top
C45,176.041442,-66.777763,270.0,top
C46,178.847442,-66.778763,90.0,top
C47,176.968442,-66.777763,270.0,top
C48,180.560442,-65.855763,180.0,top
C49,180.564442,-67.481763,0.0,top
C5,119.738,-68.902,90.0,top
C50,182.006442,-70.218263,0.0,top
C51,175.963884,-92.659763,90.0,top
C52,176.042884,-85.777763,270.0,top
C53,170.376884,-93.104763,270.0,top
C54,152.950442,-90.561,270.0,top
C55,180.166884,-99.754763,180.0,top
C56,183.605884,-93.585763,90.0,top
C57,178.848884,-85.778763,90.0,top
C58,180.561884,-84.855763,180.0,top
C59,180.565884,-86.481763,0.0,top
C6,144.819442,-71.005763,270.0,top
C60,182.007884,-89.218263,0.0,top
C61,175.886384,-114.531763,180.0,top
C62,143.170884,-109.010763,90.0,top
C63,143.978884,-110.827763,90.0,top
C64,144.820884,-109.005763,270.0,top
C65,145.749884,-109.030763,90.0,top
C66,148.549884,-108.740763,270.0,top
C67,150.406884,-109.297763,270.0,top
C68,180.561884,-103.855763,180.0,top
C69,151.327884,-109.510763,270.0,top
C7,145.748442,-71.030763,90.0,top
C70,151.223442,-111.448,90.0,top
C71,154.314884,-110.093763,0.0,top
C72,154.487884,-111.486763,90.0,top
C73,155.689884,-109.789763,90.0,top
C74,157.977884,-109.791763,90.0,top
C75,160.783884,-111.408763,270.0,top
C76,178.848884,-104.778763,90.0,top
C77,183.605884,-112.585763,90.0,top
C78,173.691884,-107.980763,0.0,top
C79,174.087884,-118.754763,180.0,top
C8,148.548442,-70.740763,270.0,top
C80,174.411884,-104.785763,90.0,top
C81,174.584884,-111.216763,0.0,top
C82,176.969884,-104.777763,270.0,top
C83,175.913884,-116.168763,0.0,top
C84,142.328884,-110.827763,270.0,top
C85,176.042884,-104.777763,270.0,top
C86,170.376884,-112.104763,270.0,top
C87,152.950442,-109.561,270.0,top
C88,180.166884,-118.754763,180.0,top
C89,170.354,-115.041,270.0,top
C9,150.405442,-71.297763,270.0,top
C90,183.614647,-115.343763,90.0,top
C91,175.963884,-111.659763,90.0,top
C92,180.565884,-105.481763,0.0,top
C93,182.007884,-108.218263,0.0,top
C94,175.963884,-130.659763,90.0,top
C95,143.170884,-128.010763,90.0,top
C96,143.978884,-129.827763,90.0,top
C97,144.820884,-128.005763,270.0,top
C98,145.749884,-128.030763,90.0,top
C99,148.549884,-127.740763,270.0,top
CPL0,193.655,-77.615,270.0,top
CPL1,193.655654,-96.615755,270.0,top
CPL2,193.656654,-115.615755,270.0,top
CPL3,193.656654,-134.615755,270.0,top
CPL_PORT0,194.198442,-68.625,0.0,top
CPL_PORT1,194.198442,-87.625,0.0,top
CPL_PORT2,194.198442,-106.625,0.0,top
CPL_PORT3,194.198442,-125.625,0.0,top
DEVICE_ID1,134.68,-58.088,180.0,top
IC1,119.575,-104.091,0.0,top
IC2,129.575,-123.093,0.0,top
IC3,129.575,-85.093,0.0,top
J0,201.756,-80.165763,90.0,top
J1,201.756,-99.165763,90.0,top
J10,163.438884,-113.585763,90.0,top
J11,163.438884,-132.585763,90.0,top
J18,156.455,-140.939,270.0,top
J19,110.68,-87.59,0.0,top
J2,201.756,-118.165763,90.0,top
J3,201.756,-137.165763,90.0,top
J4,139.573,-75.593,90.0,top
J5,139.573,-94.594,90.0,top
J6,139.572,-113.594,90.0,top
J7,139.571,-132.594,90.0,top
J8,163.437442,-75.585763,90.0,top
J9,163.438884,-94.585763,90.0,top
JP1,116.822,-55.01,90.0,top
JP2,116.822,-75.33,90.0,top
L1,175.884942,-77.357763,180.0,top
L10,180.533942,-66.667763,0.0,top
L11,180.356442,-69.425763,90.0,top
L12,152.138442,-90.3955,270.0,top
L13,153.684884,-92.486763,270.0,top
L14,174.599884,-93.023763,180.0,top
L15,175.234884,-85.796763,270.0,top
L16,174.279884,-97.637763,270.0,top
L17,175.886384,-96.357763,180.0,top
L18,180.535384,-85.667763,0.0,top
L19,180.357884,-88.425763,90.0,top
L2,143.152442,-72.852763,270.0,top
L20,143.153884,-110.852763,270.0,top
L21,143.995884,-109.035763,270.0,top
L22,152.138442,-109.3955,270.0,top
L23,153.684884,-111.486763,270.0,top
L24,174.599884,-112.023763,180.0,top
L25,175.234884,-104.796763,270.0,top
L26,174.279884,-116.637763,270.0,top
L27,175.886384,-115.357763,180.0,top
L28,180.535384,-104.667763,0.0,top
L29,180.357884,-107.425763,90.0,top
L3,143.994442,-71.035763,270.0,top
L30,143.153884,-129.852763,270.0,top
L31,143.995884,-128.035763,270.0,top
L32,152.138442,-128.3955,270.0,top
L33,174.278442,-78.637763,270.0,top
L34,153.684884,-130.486763,270.0,top
L35,174.599884,-131.023763,180.0,top
L36,175.234884,-123.796763,270.0,top
L37,174.279884,-135.637763,270.0,top
L38,175.886384,-134.357763,180.0,top
L39,180.535384,-123.667763,0.0,top
L4,152.137,-71.3955,270.0,top
L40,180.357884,-126.425763,90.0,top
L5,143.153884,-91.852763,270.0,top
L6,153.683442,-73.486763,270.0,top
L7,174.598442,-74.023763,180.0,top
L8,175.233442,-66.796763,270.0,top
L9,143.995884,-90.035763,270.0,top
LDO_1V8,166.315,-63.375,270.0,top
LDO_NEG5,141.677,-61.58,90.0,top
LDO_POS5,155.11025,-61.199,180.0,top
LNA0,177.128442,-80.754763,180.0,top
LNA1,177.129884,-99.754763,180.0,top
LNA2,177.129884,-118.754763,180.0,top
LNA3,177.129884,-137.754763,180.0,top
PA0,177.128442,-70.230763,0.0,top
PA1,177.129884,-89.230763,0.0,top
PA2,177.129884,-108.230763,0.0,top
PA3,177.129884,-127.230763,0.0,top
PS0,147.928442,-74.835763,0.0,top
PS1,147.929884,-93.835763,0.0,top
PS2,147.929884,-112.835763,0.0,top
PS3,147.929884,-131.835763,0.0,top
R1,114.282,-59.17,270.0,top
R10,110.472,-70.526,270.0,top
R11,109.202,-70.526,270.0,top
R12,147.623442,-70.740763,270.0,top
R13,149.473442,-71.265763,90.0,top
R14,152.861,-73.444,270.0,top
R15,156.632442,-71.774763,270.0,top
R16,158.909442,-71.778763,90.0,top
R17,159.848442,-73.387763,90.0,top
R18,146.674884,-90.015763,270.0,top
R19,147.624884,-89.740763,270.0,top
R2,113.012,-59.155,270.0,top
R20,149.474884,-90.265763,90.0,top
R21,152.862442,-92.444,270.0,top
R22,156.633884,-90.774763,270.0,top
R23,158.910884,-90.778763,90.0,top
R24,159.849884,-92.387763,90.0,top
R25,174.151884,-90.826763,90.0,top
R26,177.907884,-85.809763,270.0,top
R27,187.889654,-99.665755,270.0,top
R28,146.674884,-109.015763,270.0,top
R29,174.150442,-71.826763,90.0,top
R3,110.472,-59.155,270.0,top
R30,147.624884,-108.740763,270.0,top
R31,149.474884,-109.265763,90.0,top
R32,177.906442,-66.809763,270.0,top
R33,187.889,-80.665,270.0,top
R34,152.862442,-111.444,270.0,top
R35,156.633884,-109.774763,270.0,top
R36,158.910884,-109.778763,90.0,top
R37,159.849884,-111.387763,90.0,top
R38,174.151884,-109.826763,90.0,top
R39,177.907884,-104.809763,270.0,top
R4,146.673442,-71.015763,270.0,top
R40,187.873,-118.653,270.0,top
R41,146.674884,-128.015763,270.0,top
R42,147.624884,-127.740763,270.0,top
R43,149.474884,-128.265763,90.0,top
R44,152.862442,-130.444,270.0,top
R45,156.633884,-128.774763,270.0,top
R46,158.910884,-128.778763,90.0,top
R47,159.849884,-130.387763,90.0,top
R48,174.151884,-128.826763,90.0,top
R49,177.907884,-123.809763,270.0,top
R5,116.822,-70.526,270.0,top
R50,187.890654,-137.665755,270.0,top
R51,171.478,-75.567,0.0,top
R52,183.13,-75.969,0.0,top
R53,171.365763,-94.493,0.0,top
R54,183.134,-94.983,0.0,top
R55,171.094,-113.482,0.0,top
R56,183.129,-113.956,0.0,top
R57,171.375,-132.493,0.0,top
R58,183.143,-132.964,0.0,top
R59,141.204,-65.212,0.0,top
R6,115.552,-70.526,270.0,top
R60,137.7,-58.088,0.0,top
R7,114.282,-70.526,270.0,top
R8,113.012,-70.526,270.0,top
R9,111.742,-70.526,270.0,top
RF_IN1,102.445,-104.093,270.0,top
SW00,167.769442,-75.335763,270.0,top
SW01,186.199442,-75.335763,90.0,top
SW10,167.770884,-94.335763,270.0,top
SW11,186.200884,-94.335763,90.0,top
SW20,167.770884,-113.335763,270.0,top
SW21,186.200884,-113.335763,90.0,top
SW30,167.770884,-132.335763,270.0,top
SW31,186.200884,-132.335763,90.0,top
U1,113.647,-64.86,270.0,top
